Description,TotalQuantity,TotalRevenue,TotalOrders,AvgMonthlyDemand,ReorderPoint,InventoryStatus
  DOORMAT UNION JACK GUNS AND ROSES,169,1084.75,51,6.76,10.14,Low Demand
 3 STRIPEY MICE FELTCRAFT,663,1243.05,112,26.52,39.78,Medium Demand
 4 PURPLE FLOCK DINNER CANDLES,340,535.96,51,13.6,20.4,Low Demand
 50'S CHRISTMAS GIFT BAG LARGE,1885,2272.25,109,75.4,113.10000000000001,Medium Demand
 ANIMAL STICKERS,385,80.85,12,15.4,23.1,Low Demand
 BLACK PIRATE TREASURE CHEST,47,77.55,13,1.88,2.82,Low Demand
 BROWN  PIRATE TREASURE CHEST ,36,59.4,7,1.44,2.16,Low Demand
 Bank Charges,2,30.0,2,0.08,0.12,Low Demand
 CAMPHOR WOOD PORTOBELLO MUSHROOM,43,53.75,7,1.72,2.58,Low Demand
 CHERRY BLOSSOM  DECORATIVE FLASK,308,1068.6000000000001,26,12.32,18.48,Low Demand
 DOLLY GIRL BEAKER,2398,2759.5,133,95.92,143.88,Medium Demand
 FAIRY CAKE CANDLES,153,202.05,2,6.12,9.18,Low Demand
 FLAMINGO LIGHTS,335,1523.8500000000001,46,13.4,20.1,Low Demand
 HOME SWEET HOME  BLACKBOARD,117,722.3100000000001,33,4.68,7.02,Low Demand
 I LOVE LONDON MINI BACKPACK,360,1454.0,68,14.4,21.6,Low Demand
 I LOVE LONDON MINI RUCKSACK,1,4.15,1,0.04,0.06,Low Demand
 IVORY PAPER CUP CAKE CASES ,1146,521.1,23,45.84,68.76,Medium Demand
 LARGE SKULL WINDMILL,8,16.8,2,0.32,0.48,Low Demand
 NEW BAROQUE BLACK BOXES,6,76.5,3,0.24,0.36,Low Demand
 NINE DRAWER OFFICE TIDY,55,792.85,30,2.2,3.3000000000000003,Low Demand
 OVAL WALL MIRROR DIAMANTE ,141,1258.95,67,5.64,8.459999999999999,Low Demand
 PAINT YOUR OWN CANVAS SET,480,724.8,17,19.2,28.799999999999997,Low Demand
 PEACE WOODEN BLOCK LETTERS,133,917.15,47,5.32,7.98,Low Demand
 RED SPOT GIFT BAG LARGE,1700,2041.0,92,68.0,102.0,Medium Demand
 RED/WHITE DOT MINI CASES,479,3536.13,138,19.16,28.740000000000002,Low Demand
 RIDGED GLASS T-LIGHT HOLDER,940,531.8000000000001,12,37.6,56.400000000000006,Medium Demand
 SET 2 TEA TOWELS I LOVE LONDON ,3698,10278.800000000001,331,147.92,221.88,High Demand
 SET Of 6 SOLDIER SKITTLES,16,60.0,3,0.64,0.96,Low Demand
 SILVER CHERRY LIGHTS,264,1594.8000000000002,35,10.56,15.84,Low Demand
 SILVER T-LIGHT SETTING,37,240.15,15,1.48,2.2199999999999998,Low Demand
 SPACEBOY BABY GIFT SET,450,7065.499999999999,142,18.0,27.0,Low Demand
 STAR  T-LIGHT HOLDER ,20,28.999999999999996,4,0.8,1.2000000000000002,Low Demand
 TOADSTOOL BEDSIDE LIGHT ,2,17.9,1,0.08,0.12,Low Demand
 TRELLIS COAT RACK,217,1016.5500000000001,46,8.68,13.02,Low Demand
 VINTAGE DESIGN GIFT TAGS,244,207.4,20,9.76,14.64,Low Demand
 WHITE BAMBOO RIBS LAMPSHADE,210,148.26,7,8.4,12.600000000000001,Low Demand
 WHITE CHERRY LIGHTS,1986,11697.300000000001,215,79.44,119.16,Medium Demand
10 COLOUR SPACEBOY PEN,12284,10211.3,472,491.36,737.04,High Demand
11 PC CERAMIC TEA SET POLKADOT,3,14.85,1,0.12,0.18,Low Demand
12 ASS ZINC CHRISTMAS DECORATIONS,441,926.1,45,17.64,26.46,Low Demand
12 COLOURED PARTY BALLOONS,4227,2683.35,255,169.08,253.62,High Demand
12 DAISY PEGS IN WOOD BOX,909,1499.85,178,36.36,54.54,Medium Demand
12 EGG HOUSE PAINTED WOOD,475,5176.67,143,19.0,28.5,Low Demand
12 HANGING EGGS HAND PAINTED,42,87.36,7,1.68,2.52,Low Demand
12 IVORY ROSE PEG PLACE SETTINGS,2399,2909.83,228,95.96,143.94,Medium Demand
12 MESSAGE CARDS WITH ENVELOPES,3043,4852.95,346,121.72,182.57999999999998,High Demand
12 MINI TOADSTOOL PEGS,474,592.5,88,18.96,28.44,Low Demand
12 PENCIL SMALL TUBE WOODLAND,9255,5883.15,514,370.2,555.3,High Demand
12 PENCILS SMALL TUBE POSY,519,337.35,64,20.76,31.14,Medium Demand
12 PENCILS SMALL TUBE RED RETROSPOT,10014,6450.3,459,400.56,600.84,High Demand
12 PENCILS SMALL TUBE RED SPOTTY,8003,5001.95,304,320.12,480.18,High Demand
12 PENCILS SMALL TUBE SKULL,12961,8219.45,684,518.44,777.6600000000001,High Demand
12 PENCILS TALL TUBE POSY,5861,1906.1699999999998,225,234.44,351.65999999999997,High Demand
12 PENCILS TALL TUBE RED RETROSPOT,3867,3280.71,336,154.68,232.02,High Demand
12 PENCILS TALL TUBE RED SPOTTY,2241,1879.8899999999999,210,89.64,134.46,Medium Demand
12 PENCILS TALL TUBE SKULLS,4678,3965.3799999999997,487,187.12,280.68,High Demand
12 PENCILS TALL TUBE WOODLAND,4492,3743.3199999999997,427,179.68,269.52,High Demand
12 PINK HEN+CHICKS IN BASKET,90,229.5,34,3.6,5.4,Low Demand
12 PINK ROSE PEG PLACE SETTINGS,1478,1758.58,115,59.12,88.67999999999999,Medium Demand
12 RED ROSE PEG PLACE SETTINGS,1170,1453.38,182,46.8,70.19999999999999,Medium Demand
15 PINK FLUFFY CHICKS IN BOX,30,88.5,20,1.2,1.7999999999999998,Low Demand
15CM CHRISTMAS GLASS BALL 20 LIGHTS,2586,19091.7,432,103.44,155.16,High Demand
16 PC CUTLERY SET PANTRY DESIGN,4,63.8,1,0.16,0.24,Low Demand
16 PIECE CUTLERY SET PANTRY DESIGN,210,3018.2999999999997,46,8.4,12.600000000000001,Low Demand
18PC WOODEN CUTLERY SET DISPOSABLE,503,595.15,24,20.12,30.18,Medium Demand
2 DAISIES HAIR COMB,18,53.10000000000001,3,0.72,1.08,Low Demand
2 PICTURE BOOK EGGS EASTER BUNNY,718,732.5,57,28.72,43.08,Medium Demand
2 PICTURE BOOK EGGS EASTER CHICKS,718,732.5,51,28.72,43.08,Medium Demand
2 PICTURE BOOK EGGS EASTER DUCKS,664,665.0,48,26.56,39.839999999999996,Medium Demand
20 DOLLY PEGS RETROSPOT,5593,6822.83,431,223.72,335.58,High Demand
200 BENDY SKULL STRAWS,1240,1390.4,95,49.6,74.4,Medium Demand
200 RED + WHITE BENDY STRAWS,1993,2404.61,296,79.72,119.58,Medium Demand
24 HANGING EASTER EGGS FLORAL TUB,655,2225.85,99,26.2,39.3,Medium Demand
3 BIRDS CANVAS SCREEN,3,3.69,3,0.12,0.18,Low Demand
3 BLACK CATS W HEARTS BLANK CARD,79,15.01,9,3.16,4.74,Low Demand
3 DRAWER ANTIQUE WHITE WOOD CABINET,715,6195.73,186,28.6,42.900000000000006,Medium Demand
3 GARDENIA MORRIS BOXED CANDLES,831,2187.11,110,33.24,49.86,Medium Demand
3 HEARTS HANGING DECORATION RUSTIC,8439,23768.81,646,337.56,506.34000000000003,High Demand
3 HOOK HANGER MAGIC GARDEN,2673,4769.549999999999,140,106.92,160.38,High Demand
3 HOOK PHOTO SHELF ANTIQUE WHITE,3055,21914.02,544,122.2,183.3,High Demand
