ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2009-12-01,762588.1591696911,711265.9977252204,842557.3832022407,762588.1591696911,762588.1591696911,11575.66735643301,11575.66735643301,11575.66735643301,11575.66735643301,11575.66735643301,11575.66735643301,0.0,0.0,0.0,774163.8265261241
2010-01-01,761753.4134226503,464019.6001783259,604961.6982019586,761753.4134226503,761753.4134226503,-230199.74776210668,-230199.74776210668,-230199.74776210668,-230199.74776210668,-230199.74776210668,-230199.74776210668,0.0,0.0,0.0,531553.6656605436
2010-02-01,760918.6677089446,402688.7557227016,532659.2992943559,760918.6677089446,760918.6677089446,-293484.9949554486,-293484.9949554486,-293484.9949554486,-293484.9949554486,-293484.9949554486,-293484.9949554486,0.0,0.0,0.0,467433.67275349604
2010-03-01,760164.7037916642,598321.414409337,731431.1292073913,760164.7037916642,760164.7037916642,-96326.45244213904,-96326.45244213904,-96326.45244213904,-96326.45244213904,-96326.45244213904,-96326.45244213904,0.0,0.0,0.0,663838.2513495252
2010-04-01,759329.9580638479,514832.2729198911,641080.9828822998,759329.9580638479,759329.9580638479,-183354.1440350413,-183354.1440350413,-183354.1440350413,-183354.1440350413,-183354.1440350413,-183354.1440350413,0.0,0.0,0.0,575975.8140288065
2010-05-01,758522.1395735424,529996.116851961,667861.6644259805,758522.1395735424,758522.1395735424,-158392.77566392726,-158392.77566392726,-158392.77566392726,-158392.77566392726,-158392.77566392726,-158392.77566392726,0.0,0.0,0.0,600129.3639096152
2010-06-01,757687.3937214342,585642.2071197715,723987.5121368752,757687.3937214342,757687.3937214342,-100958.30229728467,-100958.30229728467,-100958.30229728467,-100958.30229728467,-100958.30229728467,-100958.30229728467,0.0,0.0,0.0,656729.0914241495
2010-07-01,756879.5751707095,551772.5210370229,683972.4531082994,756879.5751707095,756879.5751707095,-135752.32395889005,-135752.32395889005,-135752.32395889005,-135752.32395889005,-135752.32395889005,-135752.32395889005,0.0,0.0,0.0,621127.2512118195
2010-08-01,756044.8293502775,572365.2680489889,705482.4264089033,756044.8293502775,756044.8293502775,-118777.64957461852,-118777.64957461852,-118777.64957461852,-118777.64957461852,-118777.64957461852,-118777.64957461852,0.0,0.0,0.0,637267.179775659
2010-09-01,755210.0835807243,790636.4736795078,931365.0900078663,755210.0835807243,755210.0835807243,107179.93846280509,107179.93846280509,107179.93846280509,107179.93846280509,107179.93846280509,107179.93846280509,0.0,0.0,0.0,862390.0220435294
2010-10-01,754402.2651096461,985542.1964490052,1124759.0245178526,754402.2651096461,754402.2651096461,301582.8352648091,301582.8352648091,301582.8352648091,301582.8352648091,301582.8352648091,301582.8352648091,0.0,0.0,0.0,1055985.100374455
